azimuth,md (ft),tvd (ft),footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production,tc_number,op_number,date_sec
-40.09,15286,6441.0,8306.0,2075.7163,173.02,1,4004,34656.74,0.48,0.02,0.33,,4.65,0.58,13183.12,7057.25,31.21,3165.0,5690.0,78,41,20911024.0,1.14,3004.785693,1,5,1491004800
-50.709998999999996,12927,6546.0,5961.0,997.46918,1.35,3,0,34551.73,0.5,0.02,0.33,0.78,4.74,0.6,13270.21,7043.91,31.14,4867.0,,89,29,11639140.0,1.47,2922.828868,3,1,1527811200
-10.67,10965,5778.0,4711.0,2782.4092,2.14,16,5181,34897.14,1.18,,0.2,,6.46,0.45,12136.41,6999.37,27.91,4535.0,,82,13,4828227.0,1.23,1243.10183,2,2,1309478400
-28.91,12517,5926.0,5747.0,4484.1367,19.82,6,0,35313.77,0.36,,0.33,,4.71,0.59,13260.93,6994.61,31.03,4427.0,,80,16,6631582.0,1.34,886.1946214,8,23,1293840000
-14.81,13900,5778.0,6938.0,2296.178,3.59,9,4149,34246.32,0.18,0.02,0.33,,4.64,0.67,13309.81,6919.51,30.8,4177.0,,79,22,7722081.0,1.27,1396.6484039999998,13,24,1372636800
-18.629998999999998,12593,8178.0,4133.0,,15.13,19,9516,35039.02,0.32,0.02,0.34,,4.68,0.62,13231.58,6984.64,31.02,6209.0,,73,12,4256000.0,1.32,1255.634139,12,2,1293840000
,13706,7912.0,5323.0,684.65454,9.21,3,0,34636.68,0.2,,0.34,0.87,4.66,0.64,13231.59,6940.83,30.89,5122.0,,98,34,8670784.0,0.91,2084.0292870000003,10,4,1446336000
-82.589996,12540,6227.0,5576.0,3399.4922,3.73,8,0,34546.34,0.49,0.03,0.33,,4.65,0.57,13151.12,7038.62,31.16,3709.0,,81,25,,0.92,595.5361955,15,19,1456790400
-6.4899998,13048,8599.0,4199.0,987.5002400000001,22.0,16,0,34735.75,0.86,0.05,0.32,,5.58,0.78,12524.46,7092.89,32.43,5123.0,6833.0,71,19,3321123.0,1.6,650.6824319,5,11,1454284800
,17884,8688.0,8946.0,2003.192,41.38,12,8492,34732.74,1.72,0.08,0.26,,4.01,0.65,11551.76,6842.7,28.15,5191.0,,81,52,23007504.0,1.32,2437.073421,12,25,1506816000
-87.25,11676,6610.0,2628.0,700.13141,33.81,5,2953,34681.88,0.4,0.02,0.33,,4.7,0.58,13221.09,7017.72,31.1,3120.0,8872.0,94,13,,1.24,477.63209689999996,3,4,1506816000
-32.279999,17649,7939.0,8623.0,2138.8274,5.51,22,8108,32889.42,0.44,0.02,0.33,,,0.59,13187.58,7039.6,31.16,5087.0,,98,44,,1.4,3782.305129,10,4,1541030400
-53.18,11645,7980.0,3564.0,1607.8577,353.76,1,4086,32176.92,1.08,0.05,0.32,0.68,5.42,0.82,12599.2,7379.32,32.68,5032.0,,90,11,4121600.0,0.97,1010.513559,8,26,1404172800
2.48,12520,8573.0,3669.0,2719.2476,16.06,4,2297,34764.4,0.88,0.05,0.28,,4.12,0.47,11642.67,7067.2,31.58,6163.0,9986.0,92,20,5904593.0,1.37,873.411474,12,9,1372636800
-49.650002,15653,5765.0,9280.0,3902.2336,5.53,7,4655,27931.42,0.26,,0.34,,4.68,0.62,13241.47,6972.52,30.98,3788.0,,89,46,24777582.0,1.02,1514.900274,1,13,1506816000
-46.98,11903,5475.0,5526.0,,35.35,12,4633,31163.96,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,3424.0,,89,16,5368545.0,1.22,1562.272694,5,15,1372636800
-1.71,13295,7286.0,5440.0,4428.6445,41.17,5,4278,28723.7,0.56,0.03,0.33,0.79,4.58,0.5,13056.54,7102.17,31.36,5529.0,,70,28,8293600.0,0.99,1191.8360630000002,5,11,1422748800
-27.1,10777,6054.0,4143.0,879.6574699999999,0.33,32,13729,34692.69,0.54,0.02,0.21,0.75,4.7,0.42,13552.74,6795.61,26.41,4634.0,5956.0,99,11,5450259.0,1.26,2509.09978,4,1,1341100800
-22.25,12312,6136.0,6041.0,2852.9058,4.69,3,0,31180.98,0.9,0.05,0.22,,4.84,0.72,10938.52,6779.6,26.01,4172.0,,73,11,7750996.0,1.3,1272.345292,8,6,1341100800
-55.029999,13707,6503.0,6553.0,791.7403,73.24,1,1920,29023.09,0.34,0.02,0.34,0.81,4.65,0.59,13166.69,7032.5,31.15,4831.0,6189.0,88,32,8536977.0,0.79,781.8192472999999,8,26,1451606400
-35.43,12021,6544.0,5176.0,5143.1685,6.01,7,0,31143.43,0.52,0.01,0.21,0.81,4.25,0.55,13071.26,6796.49,26.0,4780.0,,98,13,3644763.0,0.64,1354.756101,12,1,1341100800
-54.220001,15465,7366.0,6676.0,4218.4053,30.9,4,4174,34371.58,0.3,0.04,0.26,,3.91,0.59,11113.51,6782.48,28.44,5800.0,,81,33,12559157.0,1.06,5262.395867,11,14,1404172800
-43.490002000000004,10690,7353.0,3010.0,1734.9403,450.37,1,0,30365.71,0.87,0.05,0.34,0.49,3.83,1.3,12795.79,6590.67,29.94,4983.0,,80,12,1572000.0,0.44,938.3756860999999,8,4,1364774400
2.6500001,13936,7256.0,5802.0,495.62255999999996,14.27,6,297,29537.15,0.56,0.03,0.33,0.79,,0.5,13060.17,7101.29,31.36,5535.0,,69,29,8723403.0,1.03,1622.253328,5,11,1425168000
-41.939999,21343,6081.0,13995.0,2024.9224,70.55,12,10623,35339.0,0.68,,0.34,,5.0,0.42,13592.23,6950.44,30.82,4077.0,,91,70,35944792.0,1.14,3315.436126,1,11,1522540800
1.39,17898,6512.0,11136.0,3934.3613,104.88,3,0,30041.4,0.5,0.02,0.33,,4.83,0.56,13280.73,7014.03,31.04,3372.0,,75,50,24718622.0,1.12,3756.367646,1,5,1538352000
-56.619999,15190,8304.0,6306.0,5090.9937,5.66,14,9361,35500.58,0.35,0.03,0.32,,5.49,0.86,13106.77,7131.98,32.37,6137.0,,92,22,7917313.0,0.98,1468.4659869999998,8,26,1430438400
-35.040001000000004,14640,7887.0,6546.0,903.6923199999999,3.94,6,2417,34719.56,0.28,,0.26,0.95,2.57,0.6,11119.27,6782.74,28.73,5878.0,,90,38,12298942.0,0.85,2572.2488510000003,1,25,1404172800
-62.98,14189,,6574.0,2899.8076,106.58,3,7051,35006.8,1.21,0.05,0.31,,4.71,0.45,12638.59,6758.62,28.84,4749.0,,91,12,12761966.0,1.77,2433.940647,1,1,1448928000
,16326,7776.0,7620.0,,49.74,19,8536,34793.96,0.27,0.02,0.33,,4.68,0.63,13220.38,6970.94,30.98,5345.0,,97,41,15547840.0,1.65,2636.6084760000003,12,25,1551398400
,13678,7094.0,6194.0,973.5930800000001,28.0,13,6471,34786.71,0.53,0.01,0.33,0.8,4.78,0.41,13451.61,6934.0,30.82,4492.0,,108,11,5942799.0,1.75,1097.456344,2,20,1404172800
-28.690001000000002,12606,6832.0,5121.0,902.85144,46.2,6,0,35033.39,0.27,0.02,0.33,0.86,4.66,0.61,13171.29,7015.34,31.11,4939.0,,100,50,9865250.0,1.06,2513.221547,1,1,1488326400
-14.28,13310,7046.0,5288.0,1799.9548,0.6,9,6476,29891.65,0.14,0.03,0.25,0.97,5.04,0.61,11543.63,6782.8,27.82,5269.0,6898.0,80,25,9481461.0,1.03,4404.1943280000005,9,14,1467331200
-34.040001000000004,15805,6613.0,8575.0,1330.3774,23.78,6,277,31193.17,0.47,,0.33,0.81,4.66,0.58,13179.29,7036.49,31.15,5091.0,,80,43,17397700.0,1.19,2256.564198,5,5,1522540800
-17.16,16012,6428.0,9334.0,1033.4312,331.48,1,0,35169.14,0.26,0.01,0.34,,4.68,0.61,13255.15,6964.58,30.96,3577.0,,77,45,22857492.0,1.09,2709.1029280000002,1,5,1491004800
